Date,Actual_Close,Predicted_Close,Predicted_Close_Minimum,Predicted_Close_Maximum,Percent_Change_from_Close,Actual_Up_Down,Predicted_Up_Down,Company
2022-07-04,408.450012,,,,,Down,Down,TATAMOTORS.NS
2022-07-05,412.0,420.4203165,401.3318098,440.7739817,-2.043766138,Down,Up,TATAMOTORS.NS
2022-07-06,416.350006,423.9886105,403.1601708,443.0814726,-1.83465939,Down,Down,TATAMOTORS.NS
2022-07-07,430.850006,419.3507598,399.0226042,439.0264268,2.668967407,Down,Down,TATAMOTORS.NS
2022-07-08,441.549988,417.2326846,397.925675,437.8173707,5.507259446,Up,Down,TATAMOTORS.NS
2022-07-11,437.049988,425.774368,406.5478183,445.7076351,2.579938301,Up,Down,TATAMOTORS.NS
2022-07-12,430.549988,424.8180966,404.8757525,443.8531863,1.331295209,Up,Down,TATAMOTORS.NS
2022-07-13,427.100006,434.9377412,414.753853,453.9356835,-1.835105376,Down,Up,TATAMOTORS.NS
2022-07-14,428.049988,436.8569628,417.9035827,456.9170941,-2.057464096,Down,Down,TATAMOTORS.NS
2022-07-15,440.200012,430.6365445,410.9687884,450.0455023,2.17252778,Down,Down,TATAMOTORS.NS
2022-07-18,450.899994,446.0984893,426.339158,464.0956733,1.064871323,Up,Down,TATAMOTORS.NS
2022-07-19,449.049988,446.5861105,427.724152,465.180911,0.548686685,Down,Down,TATAMOTORS.NS
2022-07-20,453.450012,452.2665849,433.1976092,472.4363191,0.260982932,Down,Down,TATAMOTORS.NS
2022-07-21,454.850006,445.7010759,426.1927707,464.7688567,2.011416945,Down,Down,TATAMOTORS.NS
2022-07-22,454.899994,442.0293472,421.3338609,460.484052,2.829335441,Up,Down,TATAMOTORS.NS
2022-07-25,449.549988,448.9855209,428.511905,467.8165213,0.12556271,Up,Up,TATAMOTORS.NS
2022-07-26,441.149994,444.5061979,425.8432154,462.5224736,-0.760785204,Down,Up,TATAMOTORS.NS
2022-07-27,444.049988,452.0032385,432.1756494,469.537676,-1.791070985,Up,Up,TATAMOTORS.NS
2022-07-28,442.25,444.4042299,426.641994,464.3050608,-0.487106808,Down,Down,TATAMOTORS.NS
2022-07-29,449.600006,446.8575607,427.8422518,466.0757582,0.609974474,Down,Down,TATAMOTORS.NS
2022-08-01,479.200012,459.146881,440.2466837,479.3655476,4.184710042,Up,Down,TATAMOTORS.NS
2022-08-02,476.25,468.390455,448.7527147,487.9350004,1.65029816,Up,Up,TATAMOTORS.NS
2022-08-03,467.799988,471.6099798,452.1650184,491.256779,-0.814448879,Down,Up,TATAMOTORS.NS
2022-08-04,468.899994,471.2083242,452.5020717,489.6611821,-0.492286258,Up,Up,TATAMOTORS.NS
2022-08-05,465.25,474.1441796,455.4406549,493.4997686,-1.911699002,Down,Up,TATAMOTORS.NS
2022-08-08,467.100006,488.6165747,470.4305558,508.4158204,-4.606415845,Down,Up,TATAMOTORS.NS
2022-08-10,475.549988,493.1699097,474.7595984,513.1976597,-3.705167108,Down,Up,TATAMOTORS.NS
2022-08-11,476.649994,489.0457174,470.6816129,509.3143827,-2.600592367,Down,Up,TATAMOTORS.NS
2022-08-12,477.549988,485.7333668,466.9309791,505.0945667,-1.713617219,Down,Down,TATAMOTORS.NS
2022-08-16,490.549988,488.6694216,470.0077583,508.5457524,0.38335877,Up,Up,TATAMOTORS.NS
2022-08-17,485.399994,498.0027659,478.2242576,517.2192,-2.596368361,Up,Up,TATAMOTORS.NS
2022-08-18,484.799988,492.256736,471.8656863,511.7321326,0.0153810812388056,Up,Up,TATAMOTORS.NS
2022-08-19,471.0,515.254285,496.3245877,532.5841495,-9.395814223,Up,Up,TATAMOTORS.NS
2022-08-22,454.600006,513.937757,495.4539355,532.1847155,-13.05273872,Down,Up,TATAMOTORS.NS
2022-08-23,460.450012,533.866049,517.2913384,551.6774,-15.94440984,Down,Up,TATAMOTORS.NS
2022-08-24,463.200012,537.8440781,520.2056738,556.7971212,-16.11486705,Down,Up,TATAMOTORS.NS
2022-08-25,465.350006,532.4513029,515.3286532,549.5373162,-14.41953284,Up,Up,TATAMOTORS.NS
2022-08-26,465.049988,532.3698942,514.1144972,550.2994612,-14.47584301,Up,Up,TATAMOTORS.NS
2022-08-29,453.350006,549.6568315,532.4136236,568.373883,-21.24337141,Down,Up,TATAMOTORS.NS
2022-08-30,471.100006,558.3134818,539.6624351,575.4784304,-18.51273078,Up,Up,TATAMOTORS.NS
2022-09-01,466.899994,561.8068328,543.0275262,580.5597315,-20.32701649595653,Up,Up,TATAMOTORS.NS
2022-09-02,466.549988,570.5711825614699,553.3342936285851,588.3039662579291,-22.29583050840629,Down,Down,TATAMOTORS.NS
2022-09-03,,572.705584879269,555.2575609092556,592.5769767087751,,Down,Up,TATAMOTORS.NS
2022-09-05,459.799988,569.9519031523677,551.2823017508455,588.7796375160136,-23.956484999379267,Up,Up,TATAMOTORS.NS
2022-09-06,457.75,573.2237211684588,551.4830324690607,595.3575258463535,0.2522637272931924,Up,Up,TATAMOTORS.NS
2022-09-07,447.600006,578.0928711397526,558.1554240154182,596.6458452075059,-29.153901561778028,Up,Up,TATAMOTORS.NS
2022-09-08,442.200012,573.0063095282251,554.4118239731499,593.3939159652667,0.2958079918103328,Down,Up,TATAMOTORS.NS
2022-09-09,445.899994,582.226773543413,562.4872756964913,604.3797268570339,-30.5733979317822,Down,Up,TATAMOTORS.NS
2022-09-12,451.0,607.9549235750817,588.2749170133894,628.894347172694,-34.801535160772,Down,Down,TATAMOTORS.NS
2022-09-13,,619.1975287828276,596.9863811453588,640.6777865155399,,Down,Down,TATAMOTORS.NS
