Date,Close,Company,Open,High,Low,Adj Close,Volume
26/07/17,293.649994,ITC.NS,292.0,294.25,291.5,244.073547,9209593.0
27/07/17,288.549988,ITC.NS,294.700012,295.399994,286.75,239.834595,18892800.0
28/07/17,291.549988,ITC.NS,294.299988,294.75,287.149994,242.32811,18494629.0
31/07/17,285.25,ITC.NS,289.5,290.299988,284.5,237.091736,21247233.0
01/08/17,287.850006,ITC.NS,285.299988,288.549988,285.0,239.252792,13542016.0
02/08/17,285.450012,ITC.NS,289.799988,289.899994,284.299988,237.257996,9867353.0
03/08/17,281.399994,ITC.NS,285.0,285.399994,280.649994,233.891724,10199231.0
04/08/17,280.75,ITC.NS,280.399994,284.399994,279.649994,233.351471,11283020.0
07/08/17,279.850006,ITC.NS,281.600006,283.0,279.450012,232.603424,8451267.0
08/08/17,274.149994,ITC.NS,280.100006,281.399994,273.5,227.865707,12741118.0
09/08/17,272.850006,ITC.NS,274.0,275.399994,270.399994,226.785233,9910187.0
10/08/17,273.100006,ITC.NS,272.649994,274.649994,270.75,226.992981,9995867.0
11/08/17,271.5,ITC.NS,271.0,274.450012,270.100006,225.663132,14409594.0
14/08/17,271.25,ITC.NS,274.399994,274.399994,270.5,225.455353,9693041.0
16/08/17,279.200012,ITC.NS,272.0,281.75,271.350006,232.063187,18692336.0
17/08/17,280.0,ITC.NS,281.850006,282.899994,277.899994,232.728088,13703999.0
18/08/17,281.850006,ITC.NS,279.25,284.0,276.799988,234.265732,14869905.0
21/08/17,281.600006,ITC.NS,282.350006,285.0,280.950012,234.057968,13088154.0
22/08/17,282.899994,ITC.NS,282.0,285.0,280.350006,235.138474,11956919.0
23/08/17,282.549988,ITC.NS,283.5,285.600006,281.600006,234.84758,8747634.0
24/08/17,281.450012,ITC.NS,282.0,283.5,281.100006,233.933319,10819303.0
28/08/17,282.450012,ITC.NS,282.100006,283.0,279.299988,234.764481,9974428.0
29/08/17,280.25,ITC.NS,282.350006,282.899994,279.399994,232.935867,6141239.0
30/08/17,282.0,ITC.NS,281.149994,282.899994,280.600006,234.390411,6534233.0
31/08/17,282.25,ITC.NS,283.0,283.149994,280.399994,234.598221,11221831.0
01/09/17,283.600006,ITC.NS,282.200012,284.350006,280.700012,235.720306,7247857.0
04/09/17,283.100006,ITC.NS,283.450012,283.850006,282.0,235.304718,8480587.0
05/09/17,282.850006,ITC.NS,282.649994,283.899994,281.600006,235.096909,7820187.0
06/09/17,275.700012,ITC.NS,280.5,281.0,275.25,229.154053,14165258.0
07/09/17,270.399994,ITC.NS,277.0,277.549988,269.549988,224.74884,19218142.0
08/09/17,272.350006,ITC.NS,271.149994,273.299988,270.0,226.369629,9716093.0
11/09/17,273.600006,ITC.NS,272.399994,274.399994,271.5,227.408585,9314031.0
12/09/17,277.649994,ITC.NS,275.5,278.25,274.600006,230.774857,11464781.0
13/09/17,271.5,ITC.NS,277.399994,277.5,270.950012,225.663132,12126147.0
14/09/17,272.0,ITC.NS,272.299988,272.5,270.399994,226.078705,7041114.0
15/09/17,269.299988,ITC.NS,272.0,272.75,268.200012,223.834549,13147594.0
18/09/17,267.0,ITC.NS,271.0,271.700012,266.25,221.922852,10152294.0
19/09/17,267.850006,ITC.NS,268.0,270.0,264.100006,222.629333,33882424.0
20/09/17,271.549988,ITC.NS,269.399994,272.0,267.75,225.704666,9604767.0
21/09/17,269.549988,ITC.NS,272.0,272.399994,267.100006,224.042328,7759828.0
22/09/17,268.450012,ITC.NS,269.5,270.950012,267.049988,223.128067,6877525.0
25/09/17,262.25,ITC.NS,268.5,269.649994,260.899994,217.974792,17583222.0
26/09/17,262.450012,ITC.NS,263.299988,263.75,261.049988,218.141037,9581360.0
27/09/17,258.5,ITC.NS,265.100006,265.5,256.799988,214.85788,17533620.0
28/09/17,261.549988,ITC.NS,260.399994,263.399994,259.100006,217.392944,21604711.0
29/09/17,258.299988,ITC.NS,262.799988,262.899994,257.450012,214.691666,12172012.0
03/10/17,261.399994,ITC.NS,262.5,262.75,258.5,217.268295,11497927.0
04/10/17,267.399994,ITC.NS,264.100006,268.5,263.149994,222.25531,10779322.0
05/10/17,265.25,ITC.NS,267.399994,269.399994,264.399994,220.468307,6937298.0
06/10/17,266.149994,ITC.NS,265.799988,267.5,264.649994,221.216339,7856190.0
09/10/17,268.0,ITC.NS,268.0,269.149994,266.399994,222.754013,6088623.0
10/10/17,266.200012,ITC.NS,267.100006,267.899994,265.149994,221.257919,5472538.0
11/10/17,265.399994,ITC.NS,266.5,267.75,264.450012,220.592972,7664687.0
12/10/17,267.0,ITC.NS,265.549988,269.200012,264.0,221.922852,9165813.0
13/10/17,265.950012,ITC.NS,266.25,267.600006,264.200012,221.050156,12040762.0
16/10/17,267.5,ITC.NS,266.0,269.950012,265.5,222.338455,9152244.0
17/10/17,267.25,ITC.NS,268.0,268.700012,265.950012,222.13063,10628854.0
18/10/17,270.350006,ITC.NS,268.0,270.75,267.100006,224.707291,7229879.0
19/10/17,269.649994,ITC.NS,271.0,271.299988,269.0,224.125443,1235750.0
23/10/17,267.049988,ITC.NS,270.0,272.75,265.799988,221.964401,9768072.0
24/10/17,267.0,ITC.NS,268.450012,268.450012,266.100006,221.922852,8400196.0
25/10/17,269.25,ITC.NS,268.399994,271.5,268.200012,223.792984,5940597.0
26/10/17,268.399994,ITC.NS,270.799988,270.799988,267.149994,223.086472,9260157.0
27/10/17,269.350006,ITC.NS,270.600006,276.0,267.450012,223.876114,22968176.0
30/10/17,265.149994,ITC.NS,269.0,270.600006,263.450012,220.385193,17589111.0
31/10/17,265.700012,ITC.NS,266.049988,266.950012,263.899994,220.842331,8139444.0
